年,軒数,客室数,収容人数
1978,655,14026,36350
1980,689,14428,38278
1982,693,15095,38904
1984,662,15532,40403
1986,620,16254,42196
1988,593,17664,45696
1990,634,18976,48707
1992,668,19864,52199
1994,676,22753,57990
1996,661,23186,57639
1998,682,23297,60345
2000,673,23781,60078
2002,707,25423,63797
2003,808,27533,69344
2004,822,28303,71062
2005,966,31238,77201
2006,1022,32320,80746
2007,1087,33654,82972
2008,1170,35005,86545
2009,1232,36359,90066
2010,1299,37050,92833
2011,1357,38152,96954
2012,1411,38891,99061
2013,1441,38905,100111
2014,1541,40243,104724
2015,1664,41037,107190
2016,1823,42248,111982
2017,2082,45661,121403
2018,2488,49144,132445
2019,3084,54380,149216
2020,3342,57759,160213
2021,3480,59448,167662
2022,3681,63215,177191
2023,3914,63497,184732
